Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-24 18:45:35,2020-01-24 18:47:24,1m - 48.774s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-24 18:45:35,2020-01-24 18:47:23,1m - 47.257s,FAILED
"comment(""Test Case = "" + testCaseDesc)",,,2020-01-24 18:45:36,2020-01-24 18:45:36,0.167s,PASSED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-24 18:45:36,2020-01-24 18:45:36,0.011s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-24 18:45:36,2020-01-24 18:45:36,0.001s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-24 18:45:36,2020-01-24 18:45:36,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,Payment Process,2020-01-24 18:45:36,2020-01-24 18:47:14,1m - 37.645s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-24 18:47:14,2020-01-24 18:47:15,1.316s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-24 18:47:15,2020-01-24 18:47:17,1.995s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-24 18:47:17,2020-01-24 18:47:19,1.989s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-24 18:47:19,2020-01-24 18:47:19,0.001s,PASSED
j = 0,,,2020-01-24 18:47:19,2020-01-24 18:47:19,0.000s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-24 18:47:19,2020-01-24 18:47:19,0.000s,PASSED
"for ([j = 0, j < i, (j++)])",,Refund Process,2020-01-24 18:47:19,2020-01-24 18:47:23,3.426s,FAILED
