Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-24 18:55:27,2020-01-24 18:55:44,16.961s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-24 18:55:27,2020-01-24 18:55:44,16.688s,FAILED
"comment(""Test Case = "" + testCaseDesc)",,,2020-01-24 18:55:28,2020-01-24 18:55:28,0.081s,PASSED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-24 18:55:28,2020-01-24 18:55:28,0.010s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-24 18:55:28,2020-01-24 18:55:28,0.000s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-24 18:55:28,2020-01-24 18:55:28,0.000s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,Payment Process,2020-01-24 18:55:28,2020-01-24 18:55:43,14.961s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-24 18:55:43,2020-01-24 18:55:43,0.553s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-24 18:55:43,2020-01-24 18:55:43,0.023s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-24 18:55:43,2020-01-24 18:55:43,0.004s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-24 18:55:43,2020-01-24 18:55:43,0.000s,PASSED
j = 0,,,2020-01-24 18:55:43,2020-01-24 18:55:43,0.000s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-24 18:55:43,2020-01-24 18:55:43,0.001s,PASSED
"for ([j = 0, j < i, (j++)])",,Refund Process,2020-01-24 18:55:43,2020-01-24 18:55:44,0.577s,FAILED
