Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-23 14:23:47,2020-01-23 14:23:54,6.747s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-23 14:23:48,2020-01-23 14:23:54,6.475s,FAILED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-23 14:23:48,2020-01-23 14:23:48,0.014s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-23 14:23:48,2020-01-23 14:23:48,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,,2020-01-23 14:23:48,2020-01-23 14:23:53,4.911s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-23 14:23:53,2020-01-23 14:23:54,0.357s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.018s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.002s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.000s,PASSED
sb = new java.lang.StringBuilder(),,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.004s,PASSED
append(refidmerchant).append(SESSIONID),,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.001s,PASSED
words = Utils.generateWords(sb.toString()),,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.008s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.000s,PASSED
j = 0,,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.000s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-23 14:23:54,2020-01-23 14:23:54,0.007s,PASSED
"for ([j = 0, j < i, (j++)])",,Payment,2020-01-23 14:23:54,2020-01-23 14:23:54,0.383s,FAILED
