Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-23 15:41:20,2020-01-23 15:41:25,5.445s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-23 15:41:20,2020-01-23 15:41:25,5.126s,FAILED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-23 15:41:21,2020-01-23 15:41:21,0.017s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-23 15:41:21,2020-01-23 15:41:21,0.001s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-23 15:41:21,2020-01-23 15:41:21,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,Payment Process,2020-01-23 15:41:21,2020-01-23 15:41:25,3.709s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-23 15:41:25,2020-01-23 15:41:25,0.306s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-23 15:41:25,2020-01-23 15:41:25,0.020s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-23 15:41:25,2020-01-23 15:41:25,0.003s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-23 15:41:25,2020-01-23 15:41:25,0.002s,PASSED
j = 0,,,2020-01-23 15:41:25,2020-01-23 15:41:25,0.000s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-23 15:41:25,2020-01-23 15:41:25,0.000s,PASSED
"for ([j = 0, j < i, (j++)])",,Refund Process,2020-01-23 15:41:25,2020-01-23 15:41:25,0.463s,FAILED
