Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Payment,,,2020-01-23 09:59:46,2020-01-23 09:59:51,4.339s,ERROR
,,,,,,
Test Cases/InternetBanking/BRI Ceria/TC01-Payment,,,2020-01-23 09:59:47,2020-01-23 09:59:51,4.033s,ERROR
"containerEnv = System.getenv(""CONTAINER_ENV"")",,,2020-01-23 09:59:48,2020-01-23 09:59:48,0.003s,PASSED
"println(""CONTAINER_DEV: "" + containerEnv)",,,2020-01-23 09:59:48,2020-01-23 09:59:48,0.006s,PASSED
"callTestCase(findTestCase(""InternetBanking/tc-ServiceRequestPayment""), [""SERVICEID"":SERVICEID, ""ACQUIRERID"":ACQUIRERID, ""MALLID"":MALLID, ""CHAINMALLID"":CHAINMALLID, ""INVOICENUMBER"":INVOICENUMBER, ... ], STOP_ON_FAILURE)",,,2020-01-23 09:59:48,2020-01-23 09:59:51,3.148s,PASSED
"if (G_responseServiceRequestPayment != """")",,,2020-01-23 09:59:51,2020-01-23 09:59:51,0.033s,ERROR
