Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Payment,,,2020-01-23 10:13:25,2020-01-23 10:13:28,3.531s,ERROR
,,,,,,
Test Cases/InternetBanking/BRI Ceria/TC01-Payment,,,2020-01-23 10:13:25,2020-01-23 10:13:28,3.271s,ERROR
"containerEnv = System.getenv(""CONTAINER_ENV"")",,,2020-01-23 10:13:25,2020-01-23 10:13:25,0.004s,PASSED
"println(""CONTAINER_DEV: "" + containerEnv)",,,2020-01-23 10:13:25,2020-01-23 10:13:25,0.007s,PASSED
"callTestCase(findTestCase(""InternetBanking/tc-ServiceRequestPayment""), [""SERVICEID"":SERVICEID, ""ACQUIRERID"":ACQUIRERID, ""MALLID"":MALLID, ""CHAINMALLID"":CHAINMALLID, ""INVOICENUMBER"":INVOICENUMBER, ... ], STOP_ON_FAILURE)",,,2020-01-23 10:13:25,2020-01-23 10:13:28,2.440s,PASSED
"if (G_responseServiceRequestPayment != """")",,,2020-01-23 10:13:28,2020-01-23 10:13:28,0.108s,ERROR
