Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-23 15:44:51,2020-01-23 15:44:56,5.497s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-23 15:44:51,2020-01-23 15:44:56,5.134s,FAILED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-23 15:44:52,2020-01-23 15:44:52,0.012s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-23 15:44:52,2020-01-23 15:44:52,0.001s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-23 15:44:52,2020-01-23 15:44:52,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,Payment Process,2020-01-23 15:44:52,2020-01-23 15:44:55,3.642s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-23 15:44:55,2020-01-23 15:44:56,0.339s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-23 15:44:56,2020-01-23 15:44:56,0.022s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-23 15:44:56,2020-01-23 15:44:56,0.007s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-23 15:44:56,2020-01-23 15:44:56,0.001s,PASSED
j = 0,,,2020-01-23 15:44:56,2020-01-23 15:44:56,0.000s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-23 15:44:56,2020-01-23 15:44:56,0.001s,PASSED
"for ([j = 0, j < i, (j++)])",,Refund Process,2020-01-23 15:44:56,2020-01-23 15:44:56,0.483s,FAILED
