Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Payment,,,2020-01-23 10:24:46,2020-01-23 10:24:49,3.700s,ERROR
,,,,,,
Test Cases/InternetBanking/BRI Ceria/TC01-Payment,,,2020-01-23 10:24:46,2020-01-23 10:24:49,3.410s,ERROR
"containerEnv = System.getenv(""CONTAINER_ENV"")",,,2020-01-23 10:24:47,2020-01-23 10:24:47,0.003s,PASSED
"println(""CONTAINER_DEV: "" + containerEnv)",,,2020-01-23 10:24:47,2020-01-23 10:24:47,0.005s,PASSED
"callTestCase(findTestCase(""InternetBanking/tc-ServiceRequestPayment""), [""SERVICEID"":SERVICEID, ""ACQUIRERID"":ACQUIRERID, ""MALLID"":MALLID, ""CHAINMALLID"":CHAINMALLID, ""INVOICENUMBER"":INVOICENUMBER, ... ], STOP_ON_FAILURE)",,,2020-01-23 10:24:47,2020-01-23 10:24:49,2.416s,PASSED
"if (G_responseServiceRequestPayment != """")",,,2020-01-23 10:24:49,2020-01-23 10:24:49,0.070s,ERROR
