Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Payment,,,2020-01-23 10:09:23,2020-01-23 10:09:27,4.795s,ERROR
,,,,,,
Test Cases/InternetBanking/BRI Ceria/TC01-Payment,,,2020-01-23 10:09:23,2020-01-23 10:09:27,4.481s,ERROR
"containerEnv = System.getenv(""CONTAINER_ENV"")",,,2020-01-23 10:09:24,2020-01-23 10:09:24,0.002s,PASSED
"println(""CONTAINER_DEV: "" + containerEnv)",,,2020-01-23 10:09:24,2020-01-23 10:09:24,0.005s,PASSED
"callTestCase(findTestCase(""InternetBanking/tc-ServiceRequestPayment""), [""SERVICEID"":SERVICEID, ""ACQUIRERID"":ACQUIRERID, ""MALLID"":MALLID, ""CHAINMALLID"":CHAINMALLID, ""INVOICENUMBER"":INVOICENUMBER, ... ], STOP_ON_FAILURE)",,,2020-01-23 10:09:24,2020-01-23 10:09:27,3.351s,PASSED
"if (G_responseServiceRequestPayment != """")",,,2020-01-23 10:09:27,2020-01-23 10:09:27,0.094s,ERROR
