Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Payment,,,2020-01-23 10:14:44,2020-01-23 10:14:48,3.421s,ERROR
,,,,,,
Test Cases/InternetBanking/BRI Ceria/TC01-Payment,,,2020-01-23 10:14:44,2020-01-23 10:14:48,3.169s,ERROR
"containerEnv = System.getenv(""CONTAINER_ENV"")",,,2020-01-23 10:14:45,2020-01-23 10:14:45,0.003s,PASSED
"println(""CONTAINER_DEV: "" + containerEnv)",,,2020-01-23 10:14:45,2020-01-23 10:14:45,0.004s,PASSED
"callTestCase(findTestCase(""InternetBanking/tc-ServiceRequestPayment""), [""SERVICEID"":SERVICEID, ""ACQUIRERID"":ACQUIRERID, ""MALLID"":MALLID, ""CHAINMALLID"":CHAINMALLID, ""INVOICENUMBER"":INVOICENUMBER, ... ], STOP_ON_FAILURE)",,,2020-01-23 10:14:45,2020-01-23 10:14:47,2.304s,PASSED
"if (G_responseServiceRequestPayment != """")",,,2020-01-23 10:14:47,2020-01-23 10:14:48,0.066s,ERROR
