Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-23 15:38:18,2020-01-23 15:38:24,5.963s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-23 15:38:19,2020-01-23 15:38:24,5.556s,FAILED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-23 15:38:19,2020-01-23 15:38:19,0.013s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-23 15:38:19,2020-01-23 15:38:19,0.008s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-23 15:38:19,2020-01-23 15:38:19,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,,2020-01-23 15:38:19,2020-01-23 15:38:23,3.795s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-23 15:38:23,2020-01-23 15:38:23,0.343s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-23 15:38:23,2020-01-23 15:38:24,0.021s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-23 15:38:24,2020-01-23 15:38:24,0.004s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-23 15:38:24,2020-01-23 15:38:24,0.001s,PASSED
j = 0,,,2020-01-23 15:38:24,2020-01-23 15:38:24,0.007s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-23 15:38:24,2020-01-23 15:38:24,0.002s,PASSED
"for ([j = 0, j < i, (j++)])",,Payment,2020-01-23 15:38:24,2020-01-23 15:38:24,0.575s,FAILED
