Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-24 18:02:35,2020-01-24 18:02:59,23.867s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-24 18:02:36,2020-01-24 18:02:59,23.051s,FAILED
"comment(""Test Case = "" + testCaseDesc)",,,2020-01-24 18:02:36,2020-01-24 18:02:37,0.195s,PASSED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-24 18:02:37,2020-01-24 18:02:37,0.016s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-24 18:02:37,2020-01-24 18:02:37,0.001s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-24 18:02:37,2020-01-24 18:02:37,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,Payment Process,2020-01-24 18:02:37,2020-01-24 18:02:56,19.382s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-24 18:02:56,2020-01-24 18:02:58,1.735s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-24 18:02:58,2020-01-24 18:02:58,0.048s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-24 18:02:58,2020-01-24 18:02:58,0.023s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-24 18:02:58,2020-01-24 18:02:58,0.000s,PASSED
j = 0,,,2020-01-24 18:02:58,2020-01-24 18:02:58,0.000s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-24 18:02:58,2020-01-24 18:02:58,0.000s,PASSED
"for ([j = 0, j < i, (j++)])",,Refund Process,2020-01-24 18:02:58,2020-01-24 18:02:59,0.877s,FAILED
